champion,patch,n_picks,n_bans,n_presence_games,total_games,pick_rate,ban_rate,presence,n_games,avg_kda,avg_gold,avg_gpm,avg_dpm,avg_xp15,winrate,avg_firstblood,avg_goldat15,avg_csat15,avg_cspm,avg_firstdragon,avg_firsttower,avg_towers,avg_void_grubs,avg_barons,avg_infernals,avg_mountains,avg_clouds,avg_oceans,avg_chemtechs,avg_hextechs,avg_elders,corte,relevancia_bin,position
Aurora,15.01,56,86,142,272,0.2058823529411765,0.3161764705882353,0.5220588235294118,56,5.045068027210885,12569.67857142857,261.1308964285714,760.9849214285714,7361.107142857143,0.375,0.17857142857142858,5277.5,134.91071428571428,8.1678,0.5535714285714286,0.44642857142857145,4.803571428571429,2.6785714285714284,0.42857142857142855,0.3392857142857143,0.32142857142857145,0.42857142857142855,0.30357142857142855,0.14285714285714285,0.5,0.01785714285714285,0.23897058823529413,1,Mid
Maokai,15.01,68,69,137,272,0.25,0.2536764705882353,0.5036764705882353,68,5.905613912231559,10000.764705882351,184.98152794117647,433.7928558823529,5753.75,0.5588235294117647,0.29411764705882354,4703.35294117647,93.17647058823528,5.234451470588235,0.4117647058823529,0.4705882352941176,5.970588235294118,2.75,0.6323529411764706,0.2647058823529412,0.4117647058823529,0.39705882352941174,0.4411764705882353,0.1176470588235294,0.27941176470588236,0.0588235294117647,0.23897058823529413,1,Jungle
Ezreal,15.01,86,46,132,272,0.3161764705882353,0.16911764705882354,0.4852941176470588,86,6.812015503875969,13580.116279069767,292.3570313953488,848.5194069767442,5906.732558139535,0.4534883720930232,0.2209302325581395,5398.476744186047,133.6627906976744,8.88616976744186,0.38372093023255816,0.4186046511627907,5.906976744186046,2.953488372093023,0.5116279069767442,0.38372093023255816,0.46511627906976744,0.3488372093023256,0.3720930232558139,0.08139534883720931,0.3372093023255814,0.03488372093023256,0.23897058823529413,1,ADC
Wukong,15.01,72,58,130,272,0.2647058823529412,0.21323529411764705,0.47794117647058826,72,4.730555555555555,11175.430555555557,227.3736,387.3811597222222,5751.805555555556,0.4305555555555556,0.2916666666666667,5096.180555555556,103.98611111111111,6.309654166666666,0.4444444444444444,0.4583333333333333,5.236111111111111,2.75,0.4444444444444444,0.3611111111111111,0.4166666666666667,0.3472222222222222,0.4444444444444444,0.1527777777777778,0.3194444444444444,0.02777777777777777,0.23897058823529413,1,Top
Jayce,15.01,67,59,126,272,0.24632352941176472,0.21691176470588236,0.4632352941176471,67,4.492963752665245,12758.731343283582,262.53414626865674,631.4847462686567,7019.611940298508,0.4626865671641791,0.1791044776119403,5151.671641791045,127.34328358208955,8.22860895522388,0.5522388059701493,0.5671641791044776,5.895522388059701,2.91044776119403,0.4477611940298507,0.417910447761194,0.417910447761194,0.373134328358209,0.2835820895522388,0.1044776119402985,0.4477611940298507,0.07462686567164178,0.23897058823529413,1,Top
Poppy,15.01,37,82,119,272,0.13602941176470587,0.3014705882352941,0.4375,37,5.296589446589446,9503.72972972973,160.02166486486487,328.7307405405405,4405.2972972972975,0.6486486486486487,0.3783783783783784,4147,52,2.97048918918919,0.4594594594594595,0.5675675675675675,7.297297297297297,3,0.7027027027027027,0.32432432432432434,0.4594594594594595,0.35135135135135137,0.35135135135135137,0.21621621621621623,0.7297297297297297,0.05405405405405406,0.23897058823529413,1,Top
Sejuani,15.01,63,54,117,272,0.2316176470588235,0.19852941176470587,0.43014705882352944,63,5.550585789871504,11078.111111111111,198.62066666666664,386.0438476190476,5575.587301587301,0.42857142857142855,0.42857142857142855,4992.841269841269,100.76190476190476,5.584590476190476,0.5396825396825397,0.380952380952381,5.9523809523809526,3.0317460317460316,0.5238095238095238,0.36507936507936506,0.3492063492063492,0.42857142857142855,0.4603174603174603,0.1904761904761905,0.380952380952381,0.04761904761904761,0.23897058823529413,1,Jungle
Ashe,15.01,41,71,112,272,0.15073529411764705,0.2610294117647059,0.4117647058823529,41,7.068292682926829,13045.536585365851,284.9402756097561,686.0114268292683,5736.048780487805,0.5609756097560976,0.2682926829268293,5382.268292682927,132.1951219512195,8.838212195121951,0.5365853658536586,0.4878048780487805,5.926829268292683,2.926829268292683,0.4878048780487805,0.4146341463414634,0.2926829268292683,0.24390243902439024,0.4390243902439024,0.14634146341463414,0.4878048780487805,0.04878048780487805,0.23897058823529413,1,ADC
Leona,15.01,68,44,112,272,0.25,0.16176470588235295,0.4117647058823529,68,2.970889037433155,7480.14705882353,106.61347058823527,181.9825779411765,3347.735294117647,0.3235294117647059,0.3235294117647059,3503,22.955882352941178,1.1302294117647058,0.4264705882352941,0.4264705882352941,4.735294117647059,3.1176470588235294,0.3235294117647059,0.22058823529411764,0.35294117647058826,0.38235294117647056,0.4117647058823529,0.0588235294117647,0.3088235294117647,0.01470588235294117,0.23897058823529413,1,Support
Azir,15.01,59,38,97,272,0.21691176470588236,0.13970588235294118,0.35661764705882354,59,5.511097659402744,13668.559322033898,290.02594576271184,663.5019457627119,7392.796610169492,0.5423728813559322,0.1694915254237288,5491.423728813559,141.01694915254237,8.933206779661017,0.559322033898305,0.559322033898305,6.52542372881356,2.864406779661017,0.5932203389830508,0.3898305084745763,0.5423728813559322,0.3050847457627119,0.5254237288135594,0.1016949152542373,0.3898305084745763,0.06779661016949153,0.23897058823529413,1,Mid
